round,cumulative_samples,distinct_seen,posterior_mean_full_uniform,posterior_mean_full_dirichlet,posterior_mean_joint_c_alpha_c,posterior_mean_joint_c_alpha_alpha,true_m,occupancy_counts_desc
1,6,3,5.057466077805956,7.500515010677057,8.274202824595825,0.4043752967733517,9,3 2 1
2,12,4,4.553901519021143,7.785727104205251,8.6836563220564,0.3804136963730378,9,7 2 2 1
3,18,4,4.105516852054483,6.952270267144004,8.54160181486955,0.29678830151828245,9,10 5 2 1
4,24,4,4.024954681593256,6.412296497406754,8.589409939898815,0.2287521608018724,9,15 6 2 1
5,30,5,5.026457656117013,7.676125515856569,9.168280151677905,0.273470060883623,9,17 8 3 1 1
6,36,6,6.028334781542082,8.790121986347588,9.741906676243316,0.30820384381035326,9,20 9 4 1 1 1
7,42,6,6.011004472727658,8.581029101709102,9.75844966411262,0.27748073435580856,9,23 12 4 1 1 1
8,48,6,6.004320718450279,8.403521226432835,9.46688411433616,0.3276155843892887,9,25 13 5 2 2 1
9,54,6,6.001705340799641,8.251404589692768,9.477827108490565,0.3053978974141066,9,29 14 6 2 2 1
10,60,7,7.002665441626012,9.349413971499438,10.110312960386795,0.32667864960835724,9,30 18 6 2 2 1 1
11,66,7,7.00119330897328,9.250107260411786,10.119898809043761,0.3090355584543883,9,35 18 7 2 2 1 1
12,72,7,7.0005348721915075,9.160199497442724,10.14581360034002,0.29013494346452157,9,41 18 7 2 2 1 1
13,78,7,7.000239891243391,9.078441010943285,10.164778755479258,0.2755290526411807,9,46 19 7 2 2 1 1
14,84,7,7.0001076259861605,9.003786018894163,10.10576797081428,0.28082353656140796,9,49 19 9 3 2 1 1
15,90,7,7.000048293775151,8.935354538739977,10.073450604435019,0.28042418898960036,9,52 20 10 4 2 1 1
16,96,7,7.00002167213454,8.872402073568637,10.061695179456825,0.27597995134724507,9,54 21 13 4 2 1 1
17,102,8,8.000054545005577,9.90327758327738,10.473242469476506,0.34558870449970736,9,55 21 15 4 2 2 2 1
18,108,8,8.000026903455423,9.859900326140776,10.393608730978592,0.3630466333512888,9,58 22 15 4 3 3 2 1
19,114,8,8.000013270142356,9.818989412139155,10.323552231967476,0.37778342125901604,9,60 23 16 5 3 3 3 1
20,120,8,8.000006545623252,9.780331055044378,10.302770971568235,0.3766043426649029,9,64 24 16 5 4 3 3 1
21,126,8,8.000003228722486,9.743736000946218,10.304384731867138,0.3687560531115635,9,66 26 18 5 4 3 3 1
22,132,8,8.000001592622315,9.709036043340657,10.317803558687695,0.35787731434041115,9,70 28 18 5 4 3 3 1
23,138,8,8.000000785590258,9.676081127991536,10.333110025406796,0.34719938481094387,9,75 29 18 5 4 3 3 1
24,144,8,8.000000387507775,9.644736931523113,10.284665672819672,0.35611249470452017,9,77 31 18 6 4 4 3 1
25,150,8,8.000000191145606,9.614882823791982,10.288646017822344,0.34958683925522416,9,80 32 20 6 4 4 3 1
26,156,8,8.000000094286557,9.586410143568573,10.290769811067747,0.34402866039259516,9,82 34 22 6 4 4 3 1
27,162,8,8.000000046508784,9.559220731790504,10.285041712678773,0.34105496883631187,9,86 35 22 7 4 4 3 1
28,168,8,8.000000022941485,9.533225677919113,10.293927553607148,0.334226909101108,9,89 38 22 7 4 4 3 1
29,174,8,8.000000011316313,9.508344243648839,10.290275715478863,0.33120920198962256,9,93 39 22 8 4 4 3 1
30,180,8,8.000000005582109,9.484502935016636,10.29378384509037,0.3264609869868122,9,96 40 24 8 4 4 3 1
31,186,8,8.000000002753323,9.461634699314716,10.204652908929564,0.3468461257360943,9,98 42 25 8 4 4 3 2
32,192,8,8.000000001358366,9.43967822745616,10.172472130726716,0.35212772955399885,9,102 42 25 9 5 4 3 2
33,198,8,8.000000000669907,9.418577345835548,10.148918861768255,0.35510921012066843,9,105 43 26 9 5 5 3 2
34,204,8,8.000000000330301,9.398280484460868,10.092846504368335,0.3675711707067296,9,105 46 26 10 7 5 3 2
35,210,8,8.000000000162869,9.378740210333957,10.093043710397367,0.3640074417970235,9,109 47 26 11 7 5 3 2
36,216,8,8.000000000080203,9.359912816863769,10.069173725301052,0.3674794455376866,9,111 48 28 11 7 6 3 2
37,222,8,8.00000000003955,9.341757961561434,10.06682475915301,0.364916864551097,9,111 51 31 11 7 6 3 2
38,228,8,8.000000000019647,9.324238345481508,10.076372228426886,0.35911768944538164,9,115 52 32 11 7 6 3 2
39,234,8,8.000000000009548,9.307319428862828,10.04124004662802,0.36592498165878773,9,118 54 32 11 7 6 4 2
40,240,8,8.000000000004643,9.290969178268307,10.050585206573732,0.36039230464877353,9,122 55 33 11 7 6 4 2
41,246,8,8.000000000002489,9.275157841202452,10.036878976328246,0.36144049851376586,9,125 55 35 11 8 6 4 2
42,252,8,8.000000000001329,9.259857744763694,9.955485507846698,0.3816137822077879,9,128 55 35 13 8 6 4 3
43,258,8,8.000000000000595,9.245043115382398,9.913520290768828,0.3910227782371233,9,131 56 36 13 8 6 4 4
